stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
"120074","120074","Via  Caniga civico 52","","40.725892","8.5444002",""
"120075","120075","Via  Caniga civico 58","","40.7252126","8.5389342",""
"120076","120076","Via  Caniga civico Fr. Mot. Civile","","40.7236569","8.5351321",""
"120077","120077","Via  Caniga civico 108","","40.7219657","8.5312719",""
"120078","120078","Via  Caniga Fr. civico 49","","40.7206639","8.5279539",""
"120079","120079","Via Padre Luca","","40.7169797","8.5236465",""
"120080","120080","Via Peppino Mereu","","40.71811","8.5246567",""
"120081","120081","S.V.  Cabu D'Ispiga civico","","40.7388033","8.5756506",""
"120082","120082","S.V.  Cabu D'Ispiga civico","","40.7382625","8.5755711",""
"120083","120083","S.V.  Cabu D'Ispiga civico","","40.7409972","8.5769632",""
"120084","120084","S.V.  Cabu D'Ispiga civico","","40.7410785","8.5770219",""
"120085","120085","S.V.  Cabu D'Ispiga civico","","40.7451387","8.5812248",""
"120086","120086","S.V.  Cabu D'Ispiga civico","","40.7445499","8.5803401",""
"120087","120087","Capolinea S. Francesco","","40.7474225","8.5850009",""
"120088","120088","S.P. 18 civico 47","","40.7341713","8.5157432",""
"120089","120089","S.P. 18 civico 32","","40.7356579","8.5093845",""
"120090","120090","S.P. 18 civico Fr. Civivo 21","","40.7364572","8.5045821",""
"120091","120091","S.P. 18 civico 52","","40.7368541","8.5005287",""
"120092","120092","S.P. 18 civico 58","","40.7364106","8.4979739",""
"120093","120093","2° Traversa Monti di la Iescja Km","","40.6968103","8.4921638",""
"120094","120094","S.V.  Mandra di l'Ainu Km fr. 44/F","","40.6973285","8.5015106",""
"120095","120095","S.P. 18 viadotto ponte direzione Saccheddu","","40.7293072","8.4309542",""
"120096","120096","Capolinea Saccheddu","","40.7258126","8.4131154",""
"120098","120098","S.P. 18 Fr. Capolinea Bancali","","40.7302184","8.4423031",""
"120099","120099","S.P. 18 Lato Capolinea Bancali","","40.7301729","8.4422087",""
"120100","120100","Via  Ugo La Malfa retro asilo","","40.713116","8.5770923",""
"120101","120101","Capolinea Piazza Vienna","","40.710493","8.5527923",""
"120102","120102","Via  Budapest civico 13","","40.7127033","8.5513094",""
